Partido,Direccion
PAN,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/PAN_logo_%28Mexico%29.svg/160px-PAN_logo_%28Mexico%29.svg.png
PRI,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/PRI_logo_%28Mexico%29.svg/160px-PRI_logo_%28Mexico%29.svg.png
PRD,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/PRD_logo_%28Mexico%29.svg/160px-PRD_logo_%28Mexico%29.svg.png
PT,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Worker%27s_Party_logo_%28Mexico%29.svg/160px-Worker%27s_Party_logo_%28Mexico%29.svg.png
PVEM,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Logo-partido-verde-2020.png/160px-Logo-partido-verde-2020.png
MC,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Logo_Partido_Movimiento_Ciudadano_%28México%29.svg/160px-Logo_Partido_Movimiento_Ciudadano_%28México%29.svg.png
MORENA,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Morena_logo_%28Mexico%29.svg/160px-Morena_logo_%28Mexico%29.svg.png
PES,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Logo_Encuentro_Solidario.svg/160px-Logo_Encuentro_Solidario.svg.png
FXM,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/FPM_logo_%28Mexico%29.svg/160px-FPM_logo_%28Mexico%29.svg.png
RSP,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/RSP_logo_%28Mexico%29.svg/160px-RSP_logo_%28Mexico%29.svg.png